自己,個人,外国人,生損保,都銀等,信託銀,他金融,投資信託,事業法人,
2013年合計,-5857,-87508,151196,-10750,-2829,-39664,-4687,4267,6297
2014年合計,2883,-36323,8526,-5037,-1290,27848,85,-2104,11017
2015年合計,15588,-49995,-2509,-5840,-3094,20075,2604,2429,29632
2016年合計,24124,-31623,-36887,-5739,-4930,32651,2619,-3890,22236
2017年合計,60321,-57934,7532,-5709,-8649,938,1347,-10434,12324
2016年6月,-10961,2813,-2629,-668,-193,5747,259,950,5834
2016年7月,1381,-3899,1289,-1395,-291,2634,134,-1337,729
2016年8月,-877,-2126,-4698,-467,-317,5363,365,-484,2980
2016年9月,12039,-739,-11050,-57,-479,-785,232,26,740
2016年10月,6963,-7660,4717,-696,-210,-806,147,-2558,553
2016年11月,4228,-14711,15440,-778,-1623,-2659,102,-2519,3572
2016年12月,11999,-12661,4825,-294,-584,24,-258,-2645,56
2017年1月,5773,-3824,414,-251,-316,416,72,-2504,78
2017年2月,4885,0.7,-2567,-350,-728,-1748,423,-1645,1419
2017年3月,11218,3372,-10144,-907,-600,-2786,454,-2448,885
2017年4月,-1597,-5836,7555,-674,-542,-843,-27,744,773
2017年5月,2843,-10821,11989,-636,-972,-1531,440,-2691,1853
2017年6月,4990,-3198,-2396,-440,-645,2364,96,-3240,2138
2017年7月,-3240,-2622,1295,-127,-563,2836,-130,670,1145
2017年8月,2931,-532,-7241,-103,-392,1008,218,1517,1991
2017年9月,20805,-9096,-5714,-501,-1130,-1185,-82,-1605,88
2017年10月,3271,-18133,22325,-420,-848,-1132,-310,-2153,-1076
2017年11月,8803,-1394,-6805,-806,-1419,-324,175,421,1599
2017年12月,-163,-6102,-1088,-485,-488,3855,18,2488,1458
2018年1月,-1755,349,-4773,-403,-576,2520,184,2779,789
2018年2月,-12532,12482,-11424,-58,-147,1820,742,1816,4729
2018年3月,3452,4047,-9975,-338,-731,319,194,2017,408
2018年4月,7834,-7866,2071,-480,-761,-31,-269,183,235
2018年5月,10867,-3605,-7412,-538,-670,-972,70,-2649,4490


,,,,,,,,,
自己,個人,外国人,生損保,都銀等,信託銀,他金融,投資信託,事業法人,
2017年10月2週,563,-3475,4593,-90,-91,-441,59,-287,-396
2017年10月3週,3176,-4955,4452,-74,-249,-647,-203,-1072,-202
2017年10月4週,1437,-5951,6703,-43,-170,-299,-59,-777,-251
2017年11月1週,2835,-1326,528,-288,-426,-953,-35,-336,399
2017年11月2週,2162,-1315,670,-70,-174,117,-27,-746,-199
2017年11月3週,338,2353,-3211,-144,-395,-102,66,147,617
2017年11月4週,1009,-433,-2819,-149,-69,917,78,922,451
2017年11月5週,2457,-672,-1973,-155,-353,-304,93,435,330
2017年12月1週,-2472,-750,-2168,-84,-91,2689,-15,1821,858
2017年12月2週,-685,-826,-122,-124,-128,991,36,259,405
2017年12月3週,2071,-3340,1223,-231,-111,239,-8,105,252
2017年12月4週,923,-1186,-22,-45,-156,-65,6,302,-58
2018年1月1週,988,-5746,4851,-35,-86,35,-62,431,-172
2018年1月2週,-1496,1774,-316,-117,-147,-121,-48,206,100
2018年1月3週,2019,-229,-2222,-130,-81,505,15,-52,143
2018年1月4週,1,1817,-3560,-87,-257,313,193,871,237
2018年1月5週,-3269,2733,-3525,-32,-2,1787,86,1322,480
2018年2月1週,-6630,7458,-6446,144,83,917,349,1051,1864
2018年2月2週,-2425,850,-362,-50,-87,38,259,-81,1366
2018年2月3週,-2033,815,-1132,-125,-186,1132,69,411,625
2018年2月4週,-1443,3359,-3484,-27,43,-267,64,435,873
2018年3月1週,1178,713,-3754,-81,-8,414,51,933,632
2018年3月2週,2095,-756,-1728,-132,-217,-203,2,757,93
2018年3月3週,14,4478,-4541,-136,-208,99,67,-443,154
2018年3月4週,164,-388,48,11,-296,9,72,769,-471
2018年4月1週,611,-1264,1584,-68,-282,280,-98,-523,189
2018年4月2週,1257,-1561,845,-128,-116,-72,-13,-109,132
2018年4月3週,1629,-2443,1151,-176,-139,18,-37,293,-31
2018年4月4週,4336,-2596,-1509,-107,-223,-258,-118,522,-55
2018年5月1週,978,-538,17,-25,-61,-480,-14,-187,400
2018年5月2週,4472,-2945,-12,-218,-198,-829,-85,-284,247
2018年5月3週,4056,-3644,-937,-320,-155,43,20,-68,937
2018年5月4週,1748,1451,-3404,-122,-243,-403,9,-759,1465
2018年5月5週,-388,2071,-3076,148,-12,696,140,-1349,1438
2018年6月1週,1870,-3059,205,39,-752,1118,-5,90,582
2018年6月2週,870,-1426,317,-29,-286,-307,66,-69,342
2018年6月3週,-326,2115,-4306,-98,-87,1452,66,525,423
